sbd_id,end_date,model_name,stop_reason,cost_usd,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,ledger_rows,real_requests,dup_pct,variants_tested,explore_rounds,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,cost_usd_enablement
99575,2026-08-11,Qwen3-14B-FP8,emergency,134.38,69.92,35.39,29.07,0.0,2810,1301,53.7,13,6,1,31,4,121,0.0
99576,2026-08-11,MiniMax-M3-MXFP4,enablement_stalled,418.17,413.23,4.15,0.68,0.11,62,61,1.6,0,0,0,9,7,2,413.23
99577,2026-08-11,Qwen3-8B,global_converged,61.29,44.82,14.13,2.15,0.19,166,166,0.0,13,9,2,13,0,21,0.0
99578,2026-08-11,ERNIE-Image-Turbo,global_converged,56.31,38.18,17.23,0.87,0.03,1024,486,52.5,16,3,2,16,0,75,0.0
99579,2026-08-11,Qwen3-14B-FP8,global_converged,97.71,68.26,28.18,1.14,0.13,2472,1182,52.2,20,8,1,31,1,150,0.0
99580,2026-08-11,Z-Image-Turbo,global_converged,87.15,69.97,16.44,0.72,0.01,1293,632,51.1,37,4,2,17,1,77,0.0
99581,2026-08-11,Qwen3.5-397B-A17B-MXFP4,global_converged,19.77,11.3,7.82,0.61,0.03,500,225,55.0,13,3,1,7,0,33,0.0
99585,2026-08-11,,,71.88,37.13,32.76,1.58,0.4,334,332,0.6,14,6,0,8,0,28,0.0
99588,2026-08-11,Qwen3-0.6B,global_converged,56.54,38.11,17.27,1.04,0.12,1162,604,48.0,24,8,2,12,3,48,0.0
99589,2026-08-11,DeepSeek-V4-Flash-0731,global_converged,68.23,46.37,20.11,1.53,0.22,1296,691,46.7,20,6,2,10,0,41,0.0
99590,2026-08-11,Qwen3-14B-FP8,global_converged,29.33,21.27,7.52,0.44,0.1,539,268,50.3,8,2,1,5,0,24,0.0
99591,2026-08-11,SD-3.5-large,global_converged,89.76,67.92,20.85,0.96,0.03,1858,849,54.3,26,7,4,24,0,123,3.85
99592,2026-08-11,Llama-3.1-8B-Instruct,global_converged,43.09,31.5,10.4,1.06,0.13,777,372,52.1,0,0,0,7,3,11,0.0
99593,2026-08-11,Qwen3-8B,global_converged,64.36,33.8,29.13,1.25,0.18,1203,601,50.0,17,8,2,22,2,104,0.0
99594,2026-08-11,GLM-5.2-MXFP4,signal,67.46,17.86,49.38,0.23,0.0,1035,618,40.3,0,0,0,3,0,10,17.19
99595,2026-08-11,Nucleus-Image,global_converged,70.7,51.48,18.46,0.74,0.03,1070,495,53.7,30,7,2,18,1,97,0.0
99597,2026-08-11,FLUX.1-dev,global_converged,109.5,83.35,25.08,1.05,0.02,2262,1068,52.8,35,7,5,30,2,141,21.38
99598,2026-08-11,FLUX.1-schnell,conc_sweep_failed,73.69,58.58,14.45,0.64,0.03,1320,638,51.7,20,3,0,14,1,58,0.0
99599,2026-08-11,Qwen3.5-397B-A17B-MXFP4,global_converged,45.99,9.96,35.46,0.58,0.0,599,294,50.9,11,4,2,7,1,33,0.0
99601,2026-08-11,DeepSeek-V4-Pro-MXFP4,enablement_stalled,27.62,21.42,5.81,0.31,0.08,782,329,57.9,0,0,0,5,0,7,21.42
99602,2026-08-11,DeepSeek-V4-Pro-MXFP4,conc_sweep_done,43.58,37.2,5.88,0.44,0.06,1031,474,54.0,0,0,0,8,0,30,28.07
99604,2026-08-11,Mixtral-8x7B-Instruct-v0.1,global_converged,115.25,99.98,13.22,1.8,0.24,156,156,0.0,10,12,0,13,2,25,0.0
99605,2026-08-11,MiniMax-M3-MXFP4,conc_sweep_done,44.06,33.91,9.58,0.49,0.07,1084,498,54.1,9,2,2,11,0,44,24.06
99606,2026-08-11,HiDream-I1-Fast,time_exhausted,106.04,25.86,77.9,0.51,1.77,1637,1154,29.5,0,0,0,6,0,13,25.86
